probe,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
1007_s_at,780,1007_s_at,16,16,DDR1,DDR1,6p21.3,CAK|CD167|DDR|EDDR1|MCK10|NEP|NTRK4|PTK3|PTK3A|RTK6|TRKE,"discoidin domain receptor family, member 1"
1053_at,5982,1053_at,13,16,RFC2,RFC2,7q11.23,A1|MGC3665|RFC40,"replication factor C (activator 1) 2, 40kDa"
117_at,3310,117_at,16,16,HSPA6,HSPA6,1q23,,heat shock 70kDa protein 6 (HSP70B')
121_at,7849,121_at,14,16,PAX8,PAX8,2q12-q14,,paired box gene 8
1255_g_at,2978,1255_g_at,16,16,GUCA1A,GUCA1A,6p21.1,COD3|GCAP|GCAP1|GUCA|GUCA1,guanylate cyclase activator 1A (retina)
1294_at,7318,1294_at,16,16,UBE1L,UBE1L,3p21,D8|MGC12713|UBE2,ubiquitin-activating enzyme E1-like
1316_at,7067,1316_at,13,16,THRA,THRA,17q11.2,AR7|EAR7|ERB-T-1|ERBA|ERBA1|MGC000261|MGC43240|NR1A1|THRA1|THRA2|c-ERBA-1,"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
1320_at,11099,1320_at,16,16,PTPN21,PTPN21,14q31.3,PTPD1|PTPRL10,"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at,6352,1405_i_at,14,14,CCL5,CCL5,17q11.2-q12,D17S136E|MGC17164|RANTES|SCYA5|SISd|TCP228,chemokine (C-C motif) ligand 5
1431_at,1571,1431_at,16,16,CYP2E1,CYP2E1,10q24.3-qter,CPE1|CYP2E|P450-J|P450C2E,"cytochrome P450, family 2, subfamily E, polypeptide 1"
1438_at,2049,1438_at,16,16,EPHB3,EPHB3,3q21-qter,ETK2|HEK2|TYRO6,EPH receptor B3
1487_at,2101,1487_at,16,16,ESRRA,ESRRA,11q13,ERR1|ERRa|ERRalpha|ESRL1|NR3B1,estrogen-related receptor alpha
1494_f_at,,,,,,,,,
1598_g_at,2621,1598_g_at,16,16,GAS6,GAS6,13q34,AXLLG|AXSF|DKFZp666G247|FLJ34709,growth arrest-specific 6
160020_at,4323,160020_at,16,16,MMP14,MMP14,14q11-q12,MMP-X1|MT1-MMP|MTMMP1,matrix metallopeptidase 14 (membrane-inserted)
1729_at,8717,1729_at,15,16,TRADD,TRADD,16q22,Hs.89862|MGC11078,TNFRSF1A-associated via death domain
